DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2017-09-01,22,17,9,14,21,17,0.5,61,9.75,1021,25.625,24,11,18,116,113,113,0.0,5,11.6,météo favorable
2017-09-02,20,17,13,13,20,17,0.2,59,10.0,1022,17.25,21,10,18,113,113,113,0.0,5,11.6,météo favorable
2017-09-03,21,18,12,13,20,18,0.6,60,9.375,1020,39.0,21,12,18,113,116,122,0.0,5,9.1,météo favorable
2017-09-04,23,19,13,16,23,22,0.2,67,10.0,1017,75.5,25,16,19,122,119,119,0.0,4,6.6,météo défavorable
2017-09-05,21,18,18,18,21,21,0.2,74,10.0,1019,73.875,24,17,21,116,122,122,0.0,6,6.6,météo défavorable
2017-09-06,18,16,17,15,18,17,0.0,67,10.0,1022,63.125,19,13,16,116,119,122,0.0,5,7.8,météo correcte
2017-09-07,18,16,14,13,18,18,0.1,71,10.0,1021,56.75,19,11,16,119,119,119,0.0,5,9.1,météo correcte
2017-09-08,18,16,26,15,17,17,6.2,83,9.625,1014,89.125,18,14,16,122,122,122,0.0,5,6.5,météo défavorable
2017-09-09,18,15,18,13,17,15,0.4,73,10.0,1004,50.0,18,12,15,119,116,113,0.0,3,10.3,météo favorable
2017-09-10,19,15,20,11,18,17,0.0,72,10.0,1007,49.875,19,11,16,116,116,119,0.0,4,9.0,météo favorable
2017-09-11,18,15,27,13,17,16,1.5,66,9.75,1005,52.5,18,12,13,116,116,116,0.0,4,11.6,météo favorable
2017-09-12,18,15,22,11,18,16,0.0,69,10.0,1012,38.5,19,10,15,116,113,116,0.0,4,11.6,météo favorable
2017-09-13,18,15,30,18,18,15,17.6,86,8.875,1009,86.75,18,14,14,122,119,122,0.0,4,6.4,météo très défavorable
2017-09-14,17,13,28,11,16,14,0.7,68,9.25,1016,43.5,17,10,10,119,116,113,0.0,4,11.6,météo correcte
2017-09-15,17,13,12,9,17,13,0.6,67,10.0,1015,36.375,18,9,13,113,116,119,0.0,4,10.3,météo correcte
2017-09-16,17,13,8,9,15,13,0.3,66,9.875,1013,34.75,17,8,14,116,116,116,0.0,4,11.6,météo correcte
2017-09-17,17,13,8,9,16,13,0.8,69,10.0,1016,55.25,17,8,14,116,119,113,0.0,4,8.9,météo correcte
2017-09-18,17,13,14,9,17,13,2.6,72,9.875,1019,23.375,17,9,13,113,113,116,0.0,4,11.6,météo correcte
2017-09-19,17,13,11,11,16,14,0.3,72,10.0,1023,54.75,18,9,13,122,116,113,0.0,4,8.9,météo correcte
2017-09-20,18,14,9,10,18,15,0.0,64,10.0,1024,28.375,19,10,16,113,119,116,0.0,4,8.8,météo correcte
2017-09-21,20,15,12,10,19,16,0.0,58,10.0,1020,8.375,24,9,16,113,113,113,0.0,5,11.6,météo favorable
2017-09-22,20,16,8,12,18,16,0.1,76,10.0,1024,23.375,21,12,16,116,116,113,0.0,5,10.2,météo favorable
2017-09-23,20,15,7,11,19,16,0.0,68,10.0,1024,20.375,24,11,16,113,113,113,0.0,4,11.6,météo favorable
2017-09-24,23,17,10,12,21,18,0.0,68,10.0,1021,12.625,25,12,18,113,113,113,0.0,5,11.6,météo favorable
2017-09-25,21,17,7,14,20,18,0.0,67,9.875,1020,49.25,24,13,18,116,200,116,0.0,5,8.8,météo correcte
